Density,Energy
3.38E-05,3.17E-02
2.70E-04,0.253793469
9.12E-04,0.856918564
2.16E-03,2.032270079
4.22E-03,3.971694661
7.30E-03,6.867813841
1.16E-02,10.91397303
1.73E-02,16.30487153
2.46E-02,23.23522647
3.38E-02,31.90270143
4.50E-02,42.50428468
5.84E-02,55.2436425
7.42E-02,70.32503665
9.27E-02,87.96729971
0.113986325,108.3926463
0.138337182,131.8428295
0.165930316,158.5712495
0.19696837,188.8282051
0.203199995,195.0427641
0.211199995,202.9371721
0.219199995,210.8525802
0.227199995,218.7899882
0.235199995,226.7483962
0.243199995,234.7408043
0.251199994,242.7572123
0.259199994,250.7976203
0.267199994,258.8740284
0.275199994,266.9774364
0.283199994,275.0928444
0.291199993,283.2482525
0.299199993,291.4456605
0.307199993,299.6550686
0.315199993,307.9094766
0.323199993,316.1928846
0.339199992,332.8467007
0.355199992,349.6205168
0.371199992,366.5373328
0.387199991,383.6041489
0.403199991,400.801965
0.419199991,418.158781
0.43519999,435.6245971
0.45119999,453.2884132
0.46719999,471.0622293
0.483199989,489.0480453
0.499199989,507.1468614
0.515199988,525.3926775
0.531199988,543.8294935
0.531999988,544.7966343
0.550079988,565.8604165
0.567999987,586.8659705
0.585599987,607.7030682
0.603199987,628.6451659
0.620639986,649.5780354
0.637919986,670.4966767
0.655199985,691.5493181
0.672479985,712.7669594
0.689599985,733.9813726
0.706879984,755.521014
0.724159984,777.2286553
0.741439983,799.1172967
0.758719983,821.1919381
0.775999983,843.4605794
0.793439982,866.0804489
0.810879982,888.9073185
0.828479981,912.1004161
0.846239981,935.664742
0.864159981,959.607296
0.88207998,983.78785
0.90015998,1008.360632
0.918399979,1033.335642
0.936639979,1058.568653
0.955199979,1084.368119
0.973919978,1110.593814
0.992799978,1137.250737
1.011839977,1164.352888
1.060479976,1234.417249
1.110399975,1307.724435
1.161919974,1384.748903
1.215359973,1466.001109
1.270719972,1551.733052
1.32847997,1642.687418
1.388959969,1739.562663
1.452639968,1843.329471
1.520319966,1955.193983
1.592959964,2077.142568
1.671679963,2211.443823
1.758559961,2361.744714
1.856479959,2533.645349
1.969599956,2734.934658
2.105439953,2980.033367
